t / s;I / A
3481703520.009814;0.001000
3481703520.022814;0.001000
3481703520.031815;0.002000
3481703520.041815;0.000000
3481703520.050816;0.001000
3481703520.059816;0.000000
3481703520.073817;0.003000
3481703520.082818;0.000000
3481703520.091818;0.006000
3481703520.100819;0.001000
3481703520.109819;0.003000
3481703520.122820;0.000000
3481703520.131821;0.002000
3481703520.141821;0.005000
3481703520.150822;0.002000
3481703520.160822;0.000000
3481703520.169823;0.001000
3481703520.179823;0.000000
3481703520.193824;0.000000
3481703520.203825;0.000000
3481703520.214825;0.003000
3481703520.223826;0.002000
3481703520.234827;0.002000
3481703520.244827;0.004000
3481703520.255828;0.002000
3481703520.265828;0.007000
3481703520.274829;0.003000
3481703520.283829;0.002000
3481703520.293830;0.001000
3481703520.302830;0.002000
3481703520.309831;0.002000
3481703520.320831;0.002000
3481703520.329832;0.001000
3481703520.339832;0.004000
3481703520.350833;0.000000
3481703520.359834;0.001000
3481703520.372834;0.003000
3481703520.381835;0.004000
3481703520.390835;0.003000
3481703520.399836;0.001000
3481703520.412837;0.002000
3481703520.421837;0.005000
3481703520.432838;0.000000
3481703520.443839;0.000000
3481703520.449839;0.000000
3481703520.463840;0.001000
3481703520.472840;0.000000
3481703520.481841;0.004000
3481703520.490841;0.003000
3481703520.499842;0.004000
3481703520.512842;0.001000
3481703520.521843;0.002000
3481703520.530843;0.000000
3481703520.539844;0.001000
3481703520.552845;0.001000
3481703520.562845;0.000000
3481703520.571846;0.001000
3481703520.580846;0.003000
3481703520.589847;0.005000
3481703520.602848;0.000000
3481703520.611848;0.000000
3481703520.620849;0.002000
3481703520.629849;0.004000
3481703520.642850;0.007000
3481703520.651850;0.004000
3481703520.660851;0.002000
3481703520.669851;0.005000
3481703520.682852;0.001000
3481703520.691853;0.001000
3481703520.701853;0.002000
3481703520.710854;0.001000
3481703520.719854;0.004000
3481703520.732855;0.004000
3481703520.742856;0.001000
3481703520.751856;0.003000
3481703520.760857;0.000000
3481703520.769857;0.001000
3481703520.779858;0.000000
3481703520.792859;0.004000
3481703520.801859;0.004000
3481703520.811860;0.002000
3481703520.822860;0.002000
3481703520.832860;0.004000
3481703520.843861;0.001000
3481703520.854862;0.001000
3481703520.864862;0.002000
3481703520.874863;0.002000
3481703520.883863;0.005000
3481703520.892864;0.004000
3481703520.902865;0.001000
3481703520.911865;0.005000
3481703520.922866;0.001000
3481703520.931866;0.000000
3481703520.941867;0.000000
3481703520.950867;0.003000
3481703520.959868;0.003000
3481703520.968868;0.003000
3481703520.982869;0.002000
3481703520.991870;0.007000
3481703521.000870;0.001000
3481703521.009871;0.001000
3481703521.018871;0.000000
3481703521.031872;0.001000
3481703521.041872;0.002000
3481703521.050873;0.005000
3481703521.059874;0.001000
