t / s;I / A
26.782000;19.963982
26.820000;19.962392
26.858000;19.965572
26.896000;19.963187
26.934000;19.963187
26.972000;19.960817
27.011000;19.960817
27.048000;19.961597
27.086000;19.963187
27.124000;19.963982
27.163000;19.963187
27.201000;19.963187
27.239000;19.963187
27.277000;19.962392
27.315000;19.963187
27.353000;19.960817
27.391000;19.962392
27.430000;19.962392
27.468000;19.962392
27.506000;19.963982
27.544000;19.962392
27.582000;19.963187
27.620000;19.961597
27.658000;19.960817
27.696000;19.963982
27.734000;19.963187
27.772000;19.964777
27.810000;19.963187
27.848000;19.963982
27.886000;19.961597
27.924000;19.963187
27.962000;19.963187
28.000000;19.960817
28.038000;19.963982
28.077000;19.962392
28.115000;19.962392
28.153000;19.961597
28.191000;19.961597
28.229000;19.962392
28.267000;19.965572
28.305000;19.960817
28.343000;19.964777
28.381000;19.963187
28.419000;19.963187
28.458000;19.963187
28.496000;19.963982
28.534000;19.962392
28.572000;19.962392
28.610000;19.962392
28.648000;19.963187
28.686000;19.963187
28.724000;19.963187
28.762000;19.962392
28.800000;19.961597
28.838000;19.961597
28.876000;19.962392
28.914000;19.961597
28.952000;19.962392
28.990000;19.962392
29.029000;19.963982
29.067000;19.960817
29.105000;19.961597
29.143000;19.963982
29.182000;19.961597
29.220000;19.962392
29.258000;19.961597
29.296000;19.962392
29.334000;19.963187
29.372000;19.962392
29.410000;19.963982
29.448000;10.428562
29.486000;20.042669
29.524000;20.068813
29.562000;20.060894
29.600000;20.048204
29.638000;20.029200
29.676000;20.011771
29.715000;19.999096
29.753000;19.985627
29.791000;19.977707
29.829000;19.976912
29.867000;19.974542
29.905000;19.976117
29.943000;19.977707
29.981000;19.978502
30.019000;19.979297
30.057000;19.980077
30.095000;19.978502
30.133000;19.979297
30.171000;19.980077
30.209000;19.980077
30.247000;19.980077
30.285000;19.980077
30.324000;19.978502
30.362000;19.978502
30.400000;19.979297
30.438000;19.981667
30.476000;19.980077
30.514000;19.978502
30.552000;19.980077
30.590000;19.981667
30.628000;19.979297
30.666000;19.978502
30.704000;19.979297
30.742000;19.980077
30.780000;19.981667
30.819000;19.980077
30.857000;19.979297
30.895000;19.978502
30.933000;19.979297
30.971000;19.979297
31.009000;19.980872
31.047000;19.982462
31.085000;19.980872
31.123000;19.980077
31.161000;19.980872
31.199000;19.980077
31.237000;19.980077
31.275000;19.980872
31.314000;19.979297
31.352000;19.976912
31.390000;19.978502
31.428000;19.981667
31.466000;19.980077
31.504000;19.977707
31.542000;19.980077
31.580000;19.978502
31.618000;19.979297
31.656000;19.980077
31.695000;19.979297
31.733000;19.979297
31.771000;19.980077
31.809000;19.980872
31.847000;19.980077
31.885000;19.981667
31.923000;19.980077
31.961000;19.978502
31.999000;19.980872
32.037000;19.981667
32.075000;19.982462
32.113000;19.979297
32.151000;19.979297
32.189000;19.980077
32.227000;19.981667
32.265000;19.980077
32.303000;19.980077
32.341000;19.981667
32.379000;19.980077
32.418000;19.982462
32.456000;19.980872
32.494000;19.980077
32.532000;19.977707
32.570000;19.979297
32.608000;19.977707
32.646000;19.979297
32.684000;19.980872
32.722000;19.982462
32.760000;19.980077
32.798000;19.980872
32.836000;19.979297
32.874000;19.979297
32.913000;19.980077
32.951000;19.980872
32.989000;19.976912
33.027000;19.978502
33.065000;19.980872
33.103000;19.978502
33.141000;19.978502
33.179000;19.979297
33.217000;19.980077
33.255000;19.980872
33.293000;19.980077
33.331000;19.980872
33.369000;19.977707
33.407000;19.978502
33.445000;19.979297
33.483000;19.981667
33.522000;19.980872
33.561000;19.981667
33.599000;19.980077
33.637000;19.978502
33.675000;19.980077
33.713000;19.980872
33.751000;19.980077
33.789000;19.980077
33.827000;19.980077
33.865000;19.979297
33.903000;19.980872
33.941000;19.980872
33.979000;19.980872
34.017000;19.982462
34.055000;19.980077
34.093000;19.978502
34.131000;19.980872
34.169000;19.980077
34.207000;19.980077
34.245000;19.978502
34.283000;19.978502
34.322000;19.980077
34.360000;19.980872
34.398000;19.980077
34.436000;19.979297
34.474000;23.062254
34.512000;30.158733
34.550000;30.092976
34.588000;30.055747
34.626000;30.032768
34.664000;30.006639
34.702000;29.980495
34.740000;29.958311
34.778000;29.944841
34.817000;29.941676
34.855000;29.943251
34.893000;29.947211
34.931000;29.951171
34.969000;29.952761
35.007000;29.951966
35.045000;29.952761
35.083000;29.951966
35.121000;29.951171
35.159000;29.952761
35.197000;29.952761
35.235000;29.952761
35.273000;29.951171
35.311000;29.951966
35.349000;29.951966
35.387000;29.951171
35.425000;29.953556
35.463000;29.952761
35.501000;29.951966
35.539000;29.953556
35.577000;29.952761
35.616000;29.952761
35.654000;29.951171
35.692000;29.954351
35.730000;29.952761
35.768000;29.952761
35.806000;29.953556
35.844000;29.952761
35.882000;29.951171
35.920000;29.951966
35.958000;29.953556
35.996000;29.952761
36.034000;29.952761
36.073000;29.953556
36.111000;29.950391
36.149000;29.951966
36.187000;29.953556
36.225000;29.953556
36.263000;29.952761
36.301000;29.951171
36.339000;29.952761
36.377000;29.951171
36.415000;29.951966
36.453000;29.955146
36.491000;29.953556
36.529000;29.952761
36.567000;29.953556
36.605000;29.952761
36.644000;29.952761
36.682000;29.953556
36.720000;29.954351
36.758000;29.951966
36.796000;29.952761
36.834000;29.952761
36.872000;29.953556
36.910000;29.955926
36.948000;29.951966
36.986000;29.952761
37.024000;29.953556
37.062000;29.951966
37.100000;29.951171
37.138000;29.952761
37.176000;29.951171
37.214000;29.952761
37.253000;29.950391
37.291000;29.951966
37.329000;29.953556
37.367000;29.954351
37.405000;29.953556
37.443000;29.955146
37.481000;29.953556
37.519000;29.950391
37.557000;29.951966
37.595000;29.951966
37.633000;29.951966
37.671000;29.952761
37.709000;29.951966
37.747000;29.953556
37.785000;29.951171
37.823000;29.954351
37.862000;29.955926
37.900000;29.955146
37.938000;29.952761
37.976000;29.952761
38.014000;29.952761
38.052000;29.951171
38.090000;29.954351
38.128000;29.953556
38.166000;29.951966
38.204000;29.951966
38.242000;29.951171
38.280000;29.952761
38.319000;29.952761
38.357000;29.952761
38.395000;29.951966
38.433000;29.952761
38.471000;29.951171
38.509000;29.951966
38.547000;29.953556
38.585000;29.952761
38.623000;29.951966
38.661000;29.952761
38.699000;29.955146
38.737000;29.952761
38.775000;29.951171
38.813000;29.951966
38.851000;29.952761
38.889000;29.953556
38.927000;29.951171
38.965000;29.952761
39.003000;29.951171
39.041000;29.951171
39.080000;29.952761
39.118000;29.954351
39.156000;29.952761
39.194000;29.951966
39.232000;29.952761
39.270000;29.951171
39.308000;29.951966
39.346000;29.949596
39.384000;29.951966
39.422000;29.951171
39.460000;29.952761
39.498000;14.906078
39.536000;30.047287
39.575000;30.065512
39.613000;30.060757
39.651000;30.049672
39.689000;30.036203
39.727000;30.022733
39.765000;30.009264
39.803000;29.996589
39.841000;29.983120
39.879000;29.972035
39.917000;29.967280
39.955000;29.968075
39.993000;29.968075
40.031000;29.969650
40.069000;29.973610
40.108000;29.971240
40.146000;29.972035
40.184000;29.972035
40.222000;29.970445
40.260000;29.972035
40.298000;29.972035
40.336000;29.970445
40.374000;29.972830
40.412000;29.972830
40.451000;29.970445
40.489000;29.972830
40.527000;29.973610
40.565000;29.970445
40.603000;29.972830
40.641000;29.972830
40.679000;29.972035
40.717000;29.972035
40.755000;29.970445
40.793000;29.968075
40.831000;29.969650
40.869000;29.972830
40.907000;29.971240
40.945000;29.972035
40.984000;29.973610
41.022000;29.974405
41.060000;29.973610
41.098000;29.972830
41.136000;29.972035
41.174000;29.973610
41.212000;29.973610
41.250000;29.973610
41.289000;29.972035
41.327000;29.971240
41.365000;29.972035
41.403000;29.972830
41.441000;29.972830
41.479000;29.974405
41.517000;29.972035
41.555000;29.973610
41.593000;29.972035
41.631000;29.973610
41.669000;29.974405
41.707000;29.972035
41.746000;29.971240
41.784000;29.972830
41.822000;29.972830
41.860000;29.971240
41.898000;29.971240
41.936000;29.972830
41.974000;29.973610
42.012000;29.972830
42.050000;29.971240
42.088000;29.974405
42.126000;29.972035
42.165000;29.973610
42.203000;29.970445
42.241000;29.971240
42.279000;29.971240
42.317000;29.971240
42.356000;29.972830
42.394000;29.972830
42.432000;29.972035
42.470000;29.972035
42.508000;29.972830
42.546000;29.972830
42.584000;29.972830
42.623000;29.972035
42.661000;29.972830
42.699000;29.971240
42.737000;29.973610
42.775000;29.973610
42.813000;29.973610
42.851000;29.974405
42.889000;29.971240
42.927000;29.972830
42.965000;29.974405
43.003000;29.972035
43.041000;29.974405
43.079000;29.973610
43.118000;29.973610
43.156000;29.973610
43.194000;29.973610
43.232000;29.974405
43.270000;29.974405
43.308000;29.972830
43.346000;29.974405
43.384000;29.971240
43.422000;29.972830
43.460000;29.972035
43.498000;29.972035
43.536000;29.972035
43.575000;29.972830
43.613000;29.972830
43.651000;29.971240
43.689000;29.971240
43.727000;29.972035
43.765000;29.974405
43.803000;29.975200
43.841000;29.972035
43.879000;29.972035
43.917000;29.972035
43.955000;29.974405
43.993000;29.975200
44.031000;29.973610
44.069000;29.973610
44.108000;29.972830
44.146000;29.970445
44.184000;29.975200
44.222000;29.974405
44.260000;29.973610
44.298000;29.972830
44.336000;29.971240
44.374000;29.972830
44.413000;15.294249
44.451000;39.726102
44.489000;40.099213
44.527000;40.061985
44.565000;40.039021
44.603000;40.016041
44.641000;39.993857
44.679000;39.970098
44.717000;39.948709
44.755000;39.935239
44.793000;39.934444
44.831000;39.935239
44.869000;39.936814
44.907000;39.942364
44.945000;39.941569
44.983000;39.943159
45.022000;39.941569
45.060000;39.940774
